,0,1,2
0,1,6,1
1,1,6,13
2,1,7,1
3,1,8,1
4,1,9,1
5,2,5,1
6,2,6,1
7,2,7,1
8,2,8,1
9,2,9,1
10,3,5,1
11,3,5,11
12,3,6,1
13,3,7,1
14,3,8,1
15,3,9,1
16,4,1,16
17,4,4,9
18,4,4,18
19,4,5,1
20,4,6,1
21,4,7,1
22,4,8,1
23,4,9,1
24,5,0,11
25,5,5,1
26,5,6,1
27,5,7,1
28,5,8,1
29,5,9,1
30,6,5,1
31,6,6,1
32,6,7,1
33,6,8,1
34,6,9,1
35,7,5,1
36,7,6,1
37,7,7,1
38,7,8,1
39,7,9,1
40,8,4,17
41,8,5,1
42,8,6,1
43,8,7,1
44,8,7,13
45,8,8,1
46,8,9,1
47,9,5,1
48,9,6,1
49,9,7,1
50,9,8,1
51,9,9,1
52,10,0,2
53,10,4,20
54,10,5,1
55,10,6,1
56,10,7,1
57,10,8,1
58,10,9,1
59,11,5,1
60,11,6,1
61,11,7,1
62,11,8,1
63,11,9,1
64,12,5,1
65,12,6,1
66,12,7,1
67,12,8,1
68,12,9,1
69,13,3,13
70,13,5,1
71,13,6,1
72,13,7,1
73,13,8,1
74,13,9,1
75,14,2,17
76,14,5,1
77,14,6,1
78,14,7,1
79,14,8,1
80,14,9,1
81,15,5,1
82,15,6,1
83,15,7,1
84,15,8,1
85,15,9,1
86,16,5,1
87,16,6,1
88,16,7,1
89,16,8,1
90,16,9,1
91,17,5,1
92,17,6,1
93,17,7,1
94,17,8,1
95,17,9,1
96,18,5,1
97,18,6,1
98,18,7,1
99,18,8,1
100,18,9,1
101,19,5,1
102,19,6,1
103,19,7,1
104,19,8,1
105,19,9,1
106,20,5,1
107,20,6,1
108,20,7,1
109,20,8,1
110,20,9,1
111,21,5,1
112,21,6,1
113,21,7,1
114,21,8,1
115,21,9,1
